"ASV";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"sequence_3034";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Altererythrobacter"
"sequence_3035";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Oceanobacillus"
"sequence_3036";"Bacteria";"Actinobacteriota";NA;NA;NA;NA
"sequence_3037";"Bacteria";"Desulfobacterota";NA;NA;NA;NA
"sequence_3038";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"TRA3-20";NA
"sequence_3039";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Myxococcaceae";"P3OB-42"
"sequence_3040";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA
"sequence_3041";"Bacteria";"Firmicutes";"Clostridia";"Clostridia_or";"Gracilibacteraceae";"Lutispora"
"sequence_3042";"Bacteria";"Bdellovibrionota";"Oligoflexia";"0319-6G20";NA;NA
"sequence_3043";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_3044";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";"Ellin517"
"sequence_3045";"Bacteria";"Firmicutes";"Bacilli";"Thermoactinomycetales";"Thermoactinomycetaceae";"Shimazuella"
"sequence_3046";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Microscillaceae";NA
"sequence_3047";"Bacteria";"Chloroflexi";"Chloroflexia";"Chloroflexales";"Roseiflexaceae";NA
"sequence_3048";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_3049";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";NA;NA
"sequence_3050";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Pedosphaerales";"Pedosphaeraceae";NA
"sequence_3051";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Nitrosomonadaceae";"Ellin6067"
"sequence_3052";"Bacteria";"Myxococcota";"Myxococcia";"Myxococcales";"Myxococcaceae";"KD3-10"
