NC_008570.1.cluster004	b'380703\n'
NZ_LT907842.1.cluster005_0	b'294\n'
NZ_CP012398.1.cluster007	b'1702325\n'
NC_015566.1.cluster010	b'768490\n'
NZ_LT607751.1.cluster004	b'299152\n'
NZ_CM003771.1.cluster018	b'101571\n'
NZ_CP023141.1.cluster003_0	b'196024\n'
NZ_LT629709.1.cluster003	b'395598\n'
NZ_CP010519.1.cluster025	b'1888\n'
NZ_CM001400.1.cluster001_0	b'1088719\n'
NZ_CP025264.1.cluster019	b'28450\n'
NZ_AP018281.1.cluster006	b'2005460\n'
NZ_CP017299.1.cluster005	b'1045808\n'
NZ_CP014771.1.cluster003	b'1484116\n'
NZ_CP014947.1.cluster004	b'198620\n'
NC_012962.1.cluster012	b'291112\n'
NC_008595.1.cluster009	b'243243\n'
NZ_CP013861.1.cluster003	b'296\n'
NZ_CM002285.1.cluster039	b'1352936\n'
NZ_CP007726.1.cluster002	b'546263\n'
NZ_CP021434.1.cluster003	b'1903704\n'
NZ_CP013552.1.cluster007	b'396\n'
NZ_CP022135.1.cluster001	b'1243616\n'
NZ_CP022247.1.cluster002	b'1282\n'
NZ_AP018178.1.cluster023	b'1954172\n'
NZ_CP009968.1.cluster004	b'288681\n'
NZ_LT629739.1.cluster003	b'629680\n'
NZ_CP020039.1.cluster010	b'1964449\n'
NZ_CP022203.1.cluster010	b'1189310\n'
NZ_CP027533.1.cluster005	b'615\n'
NC_009338.1.cluster004	b'350054\n'
NZ_CP026715.1.cluster003	b'571\n'
NZ_CP025494.1.cluster006	b'191390\n'
NZ_CP019674.1.cluster002	b'95486\n'
NC_010612.1.cluster018	b'216594\n'
NZ_CP011853.1.cluster002	b'1136941\n'
NZ_CP009157.1.cluster005	b'28450\n'
NZ_CP018391.1.cluster017	b'28450\n'
NZ_CP019322.1.cluster005_0	b'408\n'
NZ_CM002636.1.cluster001	b'92826\n'
NC_014145.1.cluster005	b'426114\n'
NZ_CP017141.1.cluster005	b'430522\n'
NZ_CP011104.1.cluster005	b'230089\n'
NZ_LT853880.1.cluster001	b'48664\n'
NZ_CP022097.2.cluster005	b'380021\n'
NC_013722.1.cluster006	b'380358\n'
NZ_CP017279.1.cluster004	b'299767\n'
NZ_CP010976.1.cluster005	b'1566358\n'
NZ_CP017299.1.cluster003	b'1045808\n'
NZ_CM003770.1.cluster011	b'1636423\n'
NZ_CP017184.1.cluster005	b'1812935\n'
NZ_CP025096.1.cluster006	b'2057025\n'
NZ_CP014952.1.cluster007	b'36809\n'
NZ_CP017316.1.cluster012	b'285473\n'
